Java HotSpot(TM) 64-Bit Server VM (25.60-b23) for bsd-amd64 JRE (1.8.0_60-b27), built on Aug  4 2015 10:47:24 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(1230656k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=2147483648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2017-08-27T19:37:29.985-0100: 23.506: [GC (Allocation Failure) [PSYoungGen: 451808K->127488K(510976K)] 1071709K->864101K(1524736K), 0.1099256 secs] [Times: user=0.86 sys=0.01, real=0.11 secs] 
2017-08-27T19:37:30.738-0100: 24.259: [GC (Allocation Failure) [PSYoungGen: 450560K->128672K(510464K)] 1187173K->980821K(1524224K), 0.1134573 secs] [Times: user=0.82 sys=0.05, real=0.12 secs] 
2017-08-27T19:37:30.852-0100: 24.373: [Full GC (Ergonomics) [PSYoungGen: 128672K->0K(510464K)] [ParOldGen: 852149K->272757K(1153536K)] 980821K->272757K(1664000K), [Metaspace: 22039K->22039K(1069056K)], 0.4172533 secs] [Times: user=3.12 sys=0.01, real=0.41 secs] 
2017-08-27T19:37:31.889-0100: 25.410: [GC (Allocation Failure) [PSYoungGen: 323584K->128256K(510976K)] 596341K->401013K(1664512K), 0.0620160 secs] [Times: user=0.49 sys=0.00, real=0.07 secs] 
2017-08-27T19:37:32.579-0100: 26.100: [GC (Allocation Failure) [PSYoungGen: 451840K->128320K(508928K)] 724597K->516245K(1662464K), 0.1051946 secs] [Times: user=0.83 sys=0.00, real=0.11 secs] 
2017-08-27T19:37:33.268-0100: 26.789: [GC (Allocation Failure) [PSYoungGen: 453440K->132032K(509952K)] 841365K->636416K(1663488K), 0.1083964 secs] [Times: user=0.85 sys=0.00, real=0.11 secs] 
2017-08-27T19:37:34.022-0100: 27.543: [GC (Allocation Failure) [PSYoungGen: 457152K->124544K(506880K)] 961536K->748280K(1660416K), 0.1056826 secs] [Times: user=0.82 sys=0.00, real=0.10 secs] 
2017-08-27T19:37:34.731-0100: 28.252: [GC (Allocation Failure) [PSYoungGen: 453760K->132672K(510464K)] 1077496K->868928K(1664000K), 0.1089887 secs] [Times: user=0.83 sys=0.00, real=0.11 secs] 
2017-08-27T19:37:35.492-0100: 29.013: [GC (Allocation Failure) [PSYoungGen: 461888K->129440K(513024K)] 1198144K->977992K(1666560K), 0.1062606 secs] [Times: user=0.82 sys=0.00, real=0.10 secs] 
2017-08-27T19:37:36.225-0100: 29.746: [GC (Allocation Failure) [PSYoungGen: 466336K->135136K(515584K)] 1314888K->1091000K(1669120K), 0.1198844 secs] [Times: user=0.85 sys=0.07, real=0.12 secs] 
2017-08-27T19:37:36.345-0100: 29.866: [Full GC (Ergonomics) [PSYoungGen: 135136K->0K(515584K)] [ParOldGen: 955864K->271925K(1236480K)] 1091000K->271925K(1752064K), [Metaspace: 22136K->22136K(1069056K)], 0.4249146 secs] [Times: user=3.08 sys=0.01, real=0.43 secs] 
2017-08-27T19:37:37.416-0100: 30.937: [GC (Allocation Failure) [PSYoungGen: 336896K->135008K(519168K)] 608821K->406933K(1755648K), 0.0650285 secs] [Times: user=0.49 sys=0.00, real=0.07 secs] 
2017-08-27T19:37:38.195-0100: 31.716: [GC (Allocation Failure) [PSYoungGen: 476512K->133216K(519680K)] 748437K->517965K(1756160K), 0.1069300 secs] [Times: user=0.83 sys=0.00, real=0.11 secs] 
2017-08-27T19:37:38.932-0100: 32.453: [GC (Allocation Failure) [PSYoungGen: 474720K->135840K(520192K)] 859469K->621717K(1756672K), 0.1047125 secs] [Times: user=0.80 sys=0.00, real=0.10 secs] 
2017-08-27T19:37:39.717-0100: 33.238: [GC (Allocation Failure) [PSYoungGen: 479392K->136672K(519680K)] 965269K->726437K(1756160K), 0.1056486 secs] [Times: user=0.82 sys=0.00, real=0.11 secs] 
2017-08-27T19:37:40.490-0100: 34.011: [GC (Allocation Failure) [PSYoungGen: 480224K->137568K(522240K)] 1069989K->841765K(1758720K), 0.1108326 secs] [Times: user=0.87 sys=0.00, real=0.11 secs] 
2017-08-27T19:37:41.276-0100: 34.797: [GC (Allocation Failure) [PSYoungGen: 484192K->137888K(521728K)] 1188389K->947445K(1758208K), 0.1073009 secs] [Times: user=0.84 sys=0.00, real=0.11 secs] 
2017-08-27T19:37:42.085-0100: 35.606: [GC (Allocation Failure) [PSYoungGen: 484512K->138656K(522752K)] 1294069K->1053909K(1759232K), 0.1068886 secs] [Times: user=0.84 sys=0.00, real=0.11 secs] 
2017-08-27T19:37:42.860-0100: 36.381: [GC (Allocation Failure) [PSYoungGen: 487328K->138080K(522240K)] 1402581K->1159733K(1758720K), 0.1146249 secs] [Times: user=0.84 sys=0.04, real=0.11 secs] 
2017-08-27T19:37:43.603-0100: 37.124: [GC (Allocation Failure) [PSYoungGen: 486752K->138496K(524288K)] 1508405K->1266186K(1760768K), 0.1244828 secs] [Times: user=0.85 sys=0.07, real=0.12 secs] 
2017-08-27T19:37:43.728-0100: 37.248: [Full GC (Ergonomics) [PSYoungGen: 138496K->0K(524288K)] [ParOldGen: 1127690K->275395K(1310720K)] 1266186K->275395K(1835008K), [Metaspace: 22262K->22262K(1069056K)], 0.4194417 secs] [Times: user=3.13 sys=0.01, real=0.42 secs] 
2017-08-27T19:37:44.808-0100: 38.329: [GC (Allocation Failure) [PSYoungGen: 352256K->143040K(523776K)] 627651K->418435K(1834496K), 0.0708144 secs] [Times: user=0.55 sys=0.00, real=0.07 secs] 
2017-08-27T19:37:45.587-0100: 39.108: [GC (Allocation Failure) [PSYoungGen: 495296K->135616K(522752K)] 770691K->514131K(1833472K), 0.1056046 secs] [Times: user=0.82 sys=0.01, real=0.11 secs] 
2017-08-27T19:37:46.357-0100: 39.878: [GC (Allocation Failure) [PSYoungGen: 490944K->141024K(524800K)] 869459K->623267K(1835520K), 0.1085638 secs] [Times: user=0.84 sys=0.01, real=0.11 secs] 
2017-08-27T19:37:47.133-0100: 40.654: [GC (Allocation Failure) [PSYoungGen: 496352K->143360K(528896K)] 978595K->731947K(1839616K), 0.1109427 secs] [Times: user=0.87 sys=0.01, real=0.11 secs] 
2017-08-27T19:37:47.925-0100: 41.446: [GC (Allocation Failure) [PSYoungGen: 503808K->143360K(529408K)] 1092395K->832931K(1840128K), 0.1070320 secs] [Times: user=0.85 sys=0.00, real=0.11 secs] 
2017-08-27T19:37:48.734-0100: 42.255: [GC (Allocation Failure) [PSYoungGen: 503808K->143360K(528896K)] 1193379K->933923K(1839616K), 0.1068822 secs] [Times: user=0.84 sys=0.00, real=0.11 secs] 
2017-08-27T19:37:49.547-0100: 43.068: [GC (Allocation Failure) [PSYoungGen: 504320K->143392K(529408K)] 1294883K->1034955K(1840128K), 0.1054707 secs] [Times: user=0.83 sys=0.00, real=0.11 secs] 
2017-08-27T19:37:50.353-0100: 43.874: [GC (Allocation Failure) [PSYoungGen: 504352K->143832K(529408K)] 1395915K->1136387K(1840128K), 0.1075169 secs] [Times: user=0.83 sys=0.00, real=0.11 secs] 
2017-08-27T19:37:51.147-0100: 44.668: [GC (Allocation Failure) [PSYoungGen: 506328K->143392K(529920K)] 1498883K->1237331K(1840640K), 0.1133382 secs] [Times: user=0.89 sys=0.00, real=0.12 secs] 
2017-08-27T19:37:51.978-0100: 45.499: [GC (Allocation Failure) [PSYoungGen: 505888K->143840K(529408K)] 1599827K->1338771K(1840128K), 0.1156554 secs] [Times: user=0.82 sys=0.04, real=0.12 secs] 
2017-08-27T19:37:52.093-0100: 45.614: [Full GC (Ergonomics) [PSYoungGen: 143840K->0K(529408K)] [ParOldGen: 1194931K->277321K(1369088K)] 1338771K->277321K(1898496K), [Metaspace: 22328K->22328K(1069056K)], 0.4250204 secs] [Times: user=3.21 sys=0.01, real=0.42 secs] 
2017-08-27T19:37:53.211-0100: 46.732: [GC (Allocation Failure) [PSYoungGen: 364544K->145216K(530432K)] 641865K->422537K(1899520K), 0.0715505 secs] [Times: user=0.54 sys=0.01, real=0.07 secs] 
2017-08-27T19:37:54.013-0100: 47.534: [GC (Allocation Failure) [PSYoungGen: 509760K->145376K(531968K)] 787081K->515817K(1901056K), 0.1052191 secs] [Times: user=0.81 sys=0.00, real=0.10 secs] 
2017-08-27T19:37:54.832-0100: 48.353: [GC (Allocation Failure) [PSYoungGen: 512480K->147360K(532480K)] 882921K->617785K(1901568K), 0.1102513 secs] [Times: user=0.86 sys=0.00, real=0.11 secs] 
2017-08-27T19:37:55.633-0100: 49.154: [GC (Allocation Failure) [PSYoungGen: 514464K->145600K(531968K)] 984889K->720905K(1901056K), 0.1135155 secs] [Times: user=0.86 sys=0.00, real=0.11 secs] 
2017-08-27T19:37:56.445-0100: 49.966: [GC (Allocation Failure) [PSYoungGen: 513216K->145152K(532480K)] 1088521K->818599K(1901568K), 0.1079866 secs] [Times: user=0.84 sys=0.00, real=0.11 secs] 
2017-08-27T19:37:57.279-0100: 50.800: [GC (Allocation Failure) [PSYoungGen: 512768K->146944K(532992K)] 1186215K->912943K(1902080K), 0.1054599 secs] [Times: user=0.82 sys=0.00, real=0.11 secs] 
2017-08-27T19:37:58.111-0100: 51.632: [GC (Allocation Failure) [PSYoungGen: 516608K->148544K(533504K)] 1282607K->1014135K(1902592K), 0.1088595 secs] [Times: user=0.86 sys=0.01, real=0.11 secs] 
2017-08-27T19:37:58.959-0100: 52.480: [GC (Allocation Failure) [PSYoungGen: 518208K->146688K(533504K)] 1383799K->1108223K(1902592K), 0.1088407 secs] [Times: user=0.85 sys=0.01, real=0.11 secs] 
2017-08-27T19:37:59.805-0100: 53.326: [GC (Allocation Failure) [PSYoungGen: 517376K->144544K(534016K)] 1478911K->1200255K(1903104K), 0.1056799 secs] [Times: user=0.83 sys=0.01, real=0.11 secs] 
2017-08-27T19:38:00.607-0100: 54.128: [GC (Allocation Failure) [PSYoungGen: 515232K->149248K(534016K)] 1570943K->1307111K(1903104K), 0.1131685 secs] [Times: user=0.89 sys=0.00, real=0.12 secs] 
2017-08-27T19:38:01.462-0100: 54.982: [GC (Allocation Failure) [PSYoungGen: 521472K->147552K(534528K)] 1679335K->1402087K(1903616K), 0.1147241 secs] [Times: user=0.86 sys=0.03, real=0.11 secs] 
